Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
2.643675,-0.1284925,0.0006935539,0.004882081,-0.0007299446,0.01803589,-0.02177153
2.643675,-0.1284978,0.000685012,0.004878617,-0.000729844,0.01803642,-0.02177243
2.643675,-0.1285045,0.0006968623,0.004876346,-0.0007283688,0.01803739,-0.02177384
2.643675,-0.1284987,0.0007081485,0.00487398,-0.0007268973,0.01803656,-0.02177261
2.643675,-0.1284791,0.0007145433,0.004876349,-0.0007261522,0.0180343,-0.02176898
2.643675,-0.1284886,0.0007127099,0.004885172,-0.00072648,0.01803514,-0.0217705
2.643675,-0.1285001,0.0007146593,0.004879339,-0.0007265732,0.01803698,-0.02177309
2.643675,-0.1284979,0.0007238924,0.004878973,-0.0007250495,0.01803669,-0.02177264
2.643675,-0.1284837,0.0007261927,0.004878955,-0.0007247441,0.01803496,-0.02176994
2.643675,-0.1284805,0.0007257273,0.004881325,-0.0007253177,0.01803479,-0.02176952
2.643675,-0.1285037,0.000728377,0.00488518,-0.0007254742,0.01803697,-0.02177336
2.643675,-0.1285038,0.0007214414,0.004884241,-0.0007264763,0.01803738,-0.02177376
2.643675,-0.1284823,0.0007174843,0.004890189,-0.0007275343,0.0180352,-0.02177007
2.643675,-0.1284738,0.0007197172,0.004894732,-0.0007283762,0.01803374,-0.02176806
2.643675,-0.1284869,0.0007218818,0.004891127,-0.0007278472,0.01803489,-0.02177013
2.643675,-0.1284868,0.0007210437,0.00489158,-0.0007274486,0.01803568,-0.02177086
2.643675,-0.1284679,0.0007175939,0.004883262,-0.0007267669,0.01803317,-0.02176706
2.643675,-0.1284536,0.0007221354,0.004884942,-0.0007263198,0.01803141,-0.02176431
2.643675,-0.1284796,0.0007215092,0.00489105,-0.0007278249,0.01803325,-0.02176805
2.643675,-0.1284961,0.0007316461,0.004885737,-0.0007249787,0.01803646,-0.02177229
2.643675,-0.1284785,0.0007296256,0.004885097,-0.0007254854,0.01803456,-0.02176916
2.643675,-0.1284608,0.0007248822,0.004886685,-0.0007263683,0.01803239,-0.02176577
2.643675,-0.1284706,0.0007266602,0.004887049,-0.0007263049,0.01803297,-0.02176709
2.643675,-0.1284998,0.0007254762,0.004884624,-0.0007256679,0.01803604,-0.02177219
2.643675,-0.1284939,0.0007219853,0.004884446,-0.000726331,0.01803634,-0.02177202
2.643675,-0.128479,0.0007278189,0.004886237,-0.0007257685,0.01803437,-0.02176902
2.643675,-0.1284816,0.0007302259,0.004885947,-0.0007254556,0.01803453,-0.02176938
2.643675,-0.12851,0.0007187468,0.004885705,-0.0007266104,0.01803727,-0.02177414
2.643675,-0.1285032,0.0007256991,0.004892073,-0.000726901,0.01803737,-0.0217737
2.643675,-0.1284833,0.000725303,0.004892929,-0.0007272139,0.01803523,-0.02177017
2.643675,-0.1284781,0.0007364823,0.004884814,-0.0007245615,0.01803426,-0.02176884
2.643675,-0.1285084,0.0007315964,0.004892141,-0.0007261075,0.01803768,-0.02177438
2.643675,-0.1285184,0.0007281043,0.004891774,-0.0007260256,0.01803899,-0.02177639
2.643675,-0.1284945,0.0007247119,0.004877014,-0.0007253997,0.01803676,-0.02177244
2.643675,-0.1284855,0.0007213334,0.004883799,-0.0007262491,0.01803517,-0.02177028
2.643675,-0.128504,0.0007139669,0.004888706,-0.000727918,0.01803699,-0.02177343
2.643675,-0.1285152,0.0007284367,0.004883817,-0.0007253364,0.01803871,-0.02177586
2.643675,-0.1284932,0.000724892,0.004889076,-0.0007261969,0.01803654,-0.02177215
2.643675,-0.128477,0.0007303452,0.004886116,-0.0007251017,0.01803442,-0.0217689
2.643675,-0.1284958,0.0007379798,0.004881717,-0.0007237233,0.01803622,-0.02177203
2.643675,-0.1285146,0.0007417153,0.004876778,-0.0007224455,0.01803828,-0.0217754
2.643675,-0.1285001,0.000744474,0.004878982,-0.0007223785,0.01803716,-0.02177323
2.643675,-0.1284821,0.0007366746,0.004882746,-0.0007238239,0.0180348,-0.02176965
2.643675,-0.1284921,0.0007325442,0.004884196,-0.0007248335,0.01803564,-0.02177121
2.643675,-0.1285108,0.0007268698,0.004889423,-0.0007262379,0.01803782,-0.0217747
2.643675,-0.1285129,0.0007338127,0.004886857,-0.0007248893,0.01803862,-0.0217756
2.643675,-0.1284906,0.0007382131,0.004887304,-0.0007244609,0.01803595,-0.02177138
2.643675,-0.1284911,0.0007317415,0.004887041,-0.0007254072,0.01803581,-0.02177129
2.643675,-0.1285053,0.0007289935,0.004892448,-0.0007262491,0.01803726,-0.02177376
2.643675,-0.1285114,0.0007262232,0.004888915,-0.0007262565,0.01803834,-0.02177523
2.643675,-0.1284932,0.0007299865,0.004890726,-0.000726074,0.01803644,-0.02177205
2.643675,-0.1284845,0.0007376373,0.004891911,-0.0007254146,0.01803496,-0.02177
2.643675,-0.1285007,0.0007494756,0.004892815,-0.0007234737,0.01803658,-0.02177274
2.643675,-0.1285206,0.0007532255,0.004888066,-0.0007229708,0.01803918,-0.0217767
2.643675,-0.1285075,0.0007539504,0.004889652,-0.0007232241,0.01803782,-0.02177442
2.643675,-0.1284876,0.0007583094,0.004887412,-0.0007216707,0.01803543,-0.02177064
2.643675,-0.1284974,0.0007678533,0.004887559,-0.000720609,0.01803637,-0.02177226
2.643675,-0.1285128,0.0007690037,0.004884508,-0.0007197708,0.0180384,-0.02177534
2.643675,-0.1285033,0.0007730025,0.004887216,-0.0007192455,0.01803795,-0.02177418
2.643675,-0.1284799,0.0007825494,0.004883188,-0.0007172711,0.01803515,-0.02176975
2.643675,-0.1284835,0.0007795738,0.004879137,-0.0007170253,0.01803487,-0.02176976
2.643675,-0.1284993,0.0007738299,0.004876708,-0.0007177107,0.01803683,-0.02177283
2.643675,-0.128495,0.0007755103,0.004879666,-0.0007180497,0.01803668,-0.02177234
2.643675,-0.1284783,0.0007686554,0.004874978,-0.0007180013,0.01803445,-0.02176899
2.643675,-0.1284725,0.0007666596,0.004871565,-0.0007177554,0.01803371,-0.02176785
2.643675,-0.1284921,0.0007634005,0.004867747,-0.0007176176,0.01803597,-0.02177146
2.643675,-0.1284938,0.0007705833,0.004871782,-0.000717245,0.01803618,-0.02177178
2.643675,-0.1284811,0.0007601544,0.004876243,-0.0007187985,0.01803503,-0.02176974
2.643675,-0.1284741,0.0007708637,0.004862639,-0.0007159933,0.01803393,-0.02176816
2.643675,-0.1284839,0.0007674963,0.004859169,-0.0007158853,0.01803489,-0.02176982
2.643675,-0.1284953,0.0007712358,0.004860761,-0.0007153861,0.01803637,-0.02177206
2.643675,-0.1284952,0.0007675415,0.004860829,-0.0007159673,0.01803646,-0.02177214
2.643675,-0.128481,0.0007766886,0.004867613,-0.0007157959,0.01803473,-0.02176944
2.643675,-0.1284863,0.0007724579,0.00486621,-0.0007164553,0.0180352,-0.02177029
2.643675,-0.1284956,0.0007754243,0.004870386,-0.0007162169,0.01803646,-0.02177217
2.643675,-0.1284965,0.000786104,0.004873555,-0.0007154532,0.01803646,-0.02177224
2.643675,-0.1284879,0.0007750491,0.004871665,-0.0007165,0.01803555,-0.02177074
2.643675,-0.1284903,0.0007714136,0.004872294,-0.0007173456,0.01803575,-0.02177112
2.643675,-0.1284996,0.0007776137,0.004869313,-0.0007159114,0.01803687,-0.02177287
